카테고리,항목명,PISA변수,출처,설명
학생_배경,ESCS,ESCS,STU,"Index of economic, social and cultural status"
학생_배경,아버지의_사회경제직업수준,BFMJ2,STU,ISEI of father
학생_배경,어머니의_사회경제직업수준,BMMJ1,STU,ISEI of mother
학생_배경,아버지의_교육수준,FISCED,STU,Father's Education (ISCED)
학생_배경,어머니의_교육수준,MISCED,STU,Mother's Education (ISCED)
학생_배경,부모님의_교육수준,HISCED,STU,Highest Education of parents (ISCED)
학생_배경,가정의_문화적_보유자산,CULTPOSS,STU,Cultural possessions at home (WLE)
학생_배경,가정의_교육적_자산,HEDRES,STU,Home educational resources (WLE)
학생_배경,가정의_부유함,WEALTH,STU,Family wealth (WLE)
학생_배경,ICT_자산,ICTRES,STU,ICT resources (WLE)
학생_배경,이민_상황_지표,ST019AQ01T; ST019BQ01T; ST019CQ01T; ST021Q01TA; IMMIG,STU,"Immigration status: birth countries (student, mother, father), age of arrival, and immigration index"
학생_배경,학력변경_횟수,CHANGE,STU,Number of changes in educational biography (Sum)
학생_배경,학년유예,REPEAT,STU,Grade Repetition
학생_배경,전학횟수,SCCHANGE,STU,Number of school changes
학생_배경,나이,AGE,STU,Age
학생_배경,가정에서_사용_가능한_ICT,ICTHOME,STU,ICT available at home
학생_배경,성별,ST004D01T,STU,Student (Standardized) Gender
학생_배경,집에서_주로_사용하는_언어,ST022Q01TA,STU,What language do you speak at home most of the time?
학생_배경,초등학교_재학_중_전학_여부,EC031Q01TA,STU,Did you change schools when you were attending <ISCED 1>?
학생_배경,중학교_재학_중_전학_여부,EC032Q01TA,STU,Did you change schools when you were attending <ISCED 2>?
학생_배경,학습_계열_변경_여부,EC033Q01NA,STU,Have you ever changed your <study programme>?
학생_배경,연간_가계_소득,PA042Q01TA,STU,What is your annual household income?
학생_과정,읽기_전략_요약,METASUM,STU,Meta-cognition: summarising
학생_과정,읽기_전략_이해_및_기억,UNDREM,STU,Meta-cognition: understanding and remembering
학생_과정,디지털_읽기_전략_질과_신뢰성_평가,METASPAM,STU,Meta-cognition: assess credibility
학생_과정,읽기에_대한_즐거움,JOYREAD,STU,Joy/Like reading (WLE)
학생_과정,읽기에_대한_능력_지각,SCREADCOMP,STU,Self-concept of reading: Perception of competence (WLE)
학생_과정,읽기에_대한_어려움_지각,SCREADDIFF,STU,Self-concept of reading: Perception of difficulty (WLE)
학생_과정,긍정적_감정,SWBP,STU,Subjective well-being: Positive affect (WLE)
학생_과정,행복감,ST016Q01NA,STU,"Overall, how satisfied are you with your life as a whole these days?"
학생_과정,실패에_대한_두려움,GFOFAIL,STU,General fear of failure (WLE)
학생_과정,숙달_목표_지향,MASTGOAL,STU,Mastery goal orientation (WLE)
학생_과정,회복탄력성,RESILIENCE,STU,Resilience (WLE)
학생_과정,작업_완성도,ST182Q03HA; ST182Q04HA; ST182Q05HA; ST182Q06HA; WORKMAST,STU,Work mastery: 4 items + composite index (WLE)
학생_과정,총_공부시간,TMINS,STU,Learning time (minutes per week) - in total
학생_과정,국어_공부시간,LMINS,STU,Learning time (minutes per week) - <test language>
학생_과정,수학_공부시간,MMINS,STU,Learning time (minutes per week) - <Mathematics>
학생_과정,과학_공부시간,SMINS,STU,Learning time (minutes per week) - <science>
학생_과정,PISA_검사_노력,EFFORT1,STU,How much effort did you put into this test?
