변수,위치,레이블
CNTRYID,1,Country Identifier
CNT,2,Country code 3-character
CNTSCHID,3,Intl. School ID
CYC,4,PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT)
NatCen,5,National Centre 6-digit Code
Region,6,Region
STRATUM,7,Stratum ID 7-character (cnt + region ID + original stratum ID)
SUBNATIO,8,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)
OECD,9,OECD country
ADMINMODE,10,Mode of Respondent
LANGTEST,11,Language of Questionnaire/Assessment
SC001Q01TA,12,Which of the following definitions best describes the community in which your school is located?
SC013Q01TA,13,Is your school a public or a private school?
SC016Q01TA,14,Percentage of total funding for school year from: Government
SC016Q02TA,15,Percentage of total funding for school year from: Student fees or school charges paid by parents
SC016Q03TA,16,"Percentage of total funding for school year from: Benefactors, donations, bequests, sponsorships, parent fundraising"
SC016Q04TA,17,Percentage of total funding for school year from: Other
SC017Q01NA,18,School's instruction hindered by: A lack of teaching staff.
SC017Q02NA,19,School's instruction hindered by: Inadequate or poorly qualified teaching staff.
SC017Q03NA,20,School's instruction hindered by: A lack of assisting staff.
SC017Q04NA,21,School's instruction hindered by: Inadequate or poorly qualified assisting staff.
SC017Q05NA,22,School's instruction hindered by: A lack of educational material [...]
SC017Q06NA,23,School's instruction hindered by: Inadequate or poor quality educational material [...]
SC017Q07NA,24,School's instruction hindered by: A lack of physical infrastructure [...]
SC017Q08NA,25,School's instruction hindered by: Inadequate or poor quality physical infrastructure [...]
SC161Q01SA,26,"Main responsibility for career guidance at school: Not applicable, career guidance is not available in this school"
SC161Q02SA,27,Main responsibility for career guidance at school: All teachers share the responsibility for career guidance
SC161Q03SA,28,Main responsibility for career guidance at school: Specific teachers have the main responsibility for career guidance
SC161Q04SA,29,Main responsibility for career guidance at school: We have [...] career guidance counsellors employed at school
SC161Q05SA,30,Main responsibility for career guidance at school: We have [...] career guidance counsellors who regularly visit [...]
SC162Q01SA,31,"If career guidance is available at your school, which of the statements below best describes the situation for [...]"
